key,text,notes
app.title,Waves Observer Framework,application title
scenario.sea_survival.title,Sea Survival,scenario title
panel.overview,Overview,panel title
panel.status,Status,panel title
panel.resources,Resources,panel title
panel.environment,Environment,panel title
panel.ai,Agent,panel title
panel.decisions,Decisions,panel title
panel.logs,Logs,panel title
panel.activity,Activity,panel title
panel.controls,Controls,panel title
status.running,Running,status label
status.paused,Paused,status label
label.tick,tick,ui label
label.day,day,ui label
label.weather,Weather,ui label
label.sea,Sea,ui label
label.risk,Risk,ui label
label.goal,Goal,ui label
label.concern,Concern,ui label
label.risk_bias,Risk Bias,ui label
label.explore,Explore,ui label
label.agent,Agent,ui label
label.waiting,waiting,ui label
label.actions,Actions,ui label
label.run,run,ui label
label.config,config,ui label
control.quit,q quit,control label
control.pause,p/space pause,control label
control.paused,Run paused,control message
control.resumed,Run resumed,control message
source.agent,Agent,source label
source.fallback,Fallback,source label
stat.hp,HP,status label
stat.hunger,Hunger,status label
stat.thirst,Thirst,status label
stat.energy,Energy,status label
stat.morale,Morale,status label
stat.raft,Raft,status label
resource.food,Food,resource label
resource.water,Water,resource label
resource.wood,Wood,resource label
resource.fiber,Fiber,resource label
resource.tool,Tool,resource label
action.fish,Fish,action name
action.eat_food,Eat Food,action name
action.collect_rain,Collect Rain,action name
action.salvage,Salvage Debris,action name
action.repair_raft,Repair Raft,action name
action.rest,Rest,action name
action.observe_weather,Observe Weather,action name
action.study_chart,Study Chart,action name
action.change_course,Change Course,action name
event.rain.title,Rain,event title
event.heat.title,Heat,event title
event.storm.title,Storm Closing In,event title
event.fish_shoal.title,Fish Shoal,event title
event.floating_crate.title,Floating Crate,event title
event.hull_damage.title,Hull Damage,event title
event.island_silhouette.title,Island Silhouette,event title
event.abandoned_ship.title,Abandoned Ship,event title
prompt.decision,Choose one action from the current structured state.,prompt template
log.tick,{actor} keeps drifting as the sea state changes.,log template
log.decision,{actor} chose {action}: {reason},log template
log.result,{action} resolved: {summary},log template
log.fallback,Agent output failed; fallback selected {action}.,log template
weather.clear,Clear,environment
weather.cloudy,Cloudy,environment
weather.rain,Rain,environment
weather.heat,Heat,environment
weather.storm,Storm,environment
sea.calm,Calm,environment
sea.moderate,Moderate,environment
sea.rough,Rough,environment
risk.low,Low,environment
risk.medium,Medium,environment
risk.high,High,environment
risk.critical,Critical,environment
ai.goal.survive,Survive,ai goal
ai.goal.find_land,Find Land,ai goal
ai.goal.preserve_raft,Preserve Raft,ai goal
ai.concern.water,Low water,ai concern
ai.concern.raft,Fragile raft,ai concern
ai.concern.energy,Low energy,ai concern
ai.concern.land,Find land,ai concern
nav.target,Distance to land,navigation label
unit.distance,nm,unit
unit.days_short,d,unit
ui.kind.value_delta,delta,ui event kind
ui.kind.risk,risk,ui event kind
ui.kind.decision,decision,ui event kind
ui.kind.fallback,fallback,ui event kind
ui.kind.log,log,ui event kind
ui.kind.world_event,event,ui event kind
ui.kind.control,control,ui event kind
ui.message.value_delta,{target} {delta},ui event message
ui.message.risk,Risk is {risk},ui event message
ui.message.decision,Chose {action},ui event message
ui.message.fallback,Fallback chose {action},ui event message
scripted.reason.first_available,Scripted local runner selected the first available action.,scripted runner
resolution.fish.success,{resource} +{amount} days,resolution
resolution.fish.failure,No {resource} gained and {stat} fell,resolution
resolution.eat_food,{stat} -{amount},resolution
resolution.collect_water.success,{resource} +{amount} days,resolution
resolution.collect_water.failure,Only a little {resource} was collected,resolution
resolution.salvage.success,Gained {wood} +{wood_amount} and {fiber} +{fiber_amount},resolution
resolution.salvage.failure,{action} failed and {durability} -{amount},resolution
resolution.repair.success,{durability} +{amount},resolution
resolution.repair.failure,Repair was limited and {durability} +{amount},resolution
resolution.rest,{stat} +{amount},resolution
resolution.observe,Weather read completed and the next move is more cautious,resolution
resolution.study_chart.success,{target} -{amount} {unit},resolution
resolution.study_chart.failure,Chart reading stayed unclear,resolution
resolution.change_course.success,Course worked and {target} -{amount} {unit},resolution
resolution.change_course.failure,Course drifted and {target} +{amount} {unit},resolution
resolution.default,Action produced no clear result,resolution
mcp.guidance.water_available,"Water pressure is high: {collect_rain} is available now; it can recover emergency water even outside rain, while rain events are the strongest refill window.",mcp guidance
mcp.guidance.water_watch,Water pressure is high: look for {collect_rain} opportunities; it can recover emergency water even outside rain.,mcp guidance
mcp.guidance.navigation_available,"Distance advances through navigation actions: {study_chart} or {change_course} is available now, and success reduces distance_to_land; choose them when survival pressure is manageable.",mcp guidance
mcp.guidance.navigation_watch,Distance advances through navigation actions: {study_chart} and {change_course} reduce distance_to_land on success; watch for those opportunities when survival pressure is manageable.,mcp guidance
mcp.guidance.balance,"Balance survival pressure with progress: stabilize HP, thirst, raft, and energy, then take navigation opportunities.",mcp guidance
play.share_hint,Copy to agent: cargo run -- mcp --connect {socket},control
